addr,rooms,ruler,floor,price,descr,lat,lon
Y.Kochar,3 room,78 m2, floor 2/10 ," Sale - 120,000 $ "," Two - bedroom, one-bathroom apartment on E. Kochar street, next to the park ""Oxakadzev Aygi"" is currently for sale, for daily or long term rent. It covers an area of 78 sq.m. and occupies the 2nd floor of a 10-storey building. The apartment is newly renovated and yet uninhabited. Local heating system is installed alongside with an air conditioner. The apartment is furnished and equipped with the home appliances. Post office, supermarket ""Sas"", school N 12 and the bus stop are located nearby. ",40.17278991,44.52046261
Buzand 17,2 room,52 m2," floor 9/17 , new construction "," Sale - 200,000 $ "," One - bedroom, one-bathroom studio apartment on Buzand street, next to the Republic square is currently for sale or for rent. It covers an area of 52 sq.m. and occupies the 9th floor of a 17-story new building. The apartment is newly renovated. Centralized heating system is installed alongside with an air conditioner. Cable TV and Internet available. The apartment is furnished and equipped with home appliances. All necessary shops and entertainment places are located nearby. ",40.179957,44.511424
Tumanyan St.,5 room,200 m2, floor 4/5 ," Sale - 330,000 $ "," For sale or rent is a 3-bedroom, 3-bathroom duplex apartment in an original style with an area of 200 sqm on the 3rd and 4th floors of a 5-story stone building at the intersection of Khanjyan and Tumanyan streets. The apartment is completely renovated, a local heating system and panoramic windows from floor to ceiling are installed, the floor is covered with high-quality parquet and heated tiles. The bathrooms are lined with European tiles and equipped with plumbing fixtures. On the 1st floor there is a spacious living room with a fireplace, a kitchen and a bathroom. On the second floor there are 3 bedrooms and 2 bathrooms. There is an open balcony with a view of the park. The rooms and kitchen are beautifully furnished and equipped with household appliances and accessories. There is a possibility of sole use of the elevator. Nearby there are shops, entertainment venues and transport stops. ",40.17889484,44.52268724
Leo,3 room,99 m2," floor 3/17 , new construction "," Sale - 250,000 $ "," Two - bedroom, one-bathroom apartment on Leo - Saryan crossroads in one of the best buildings of the city is currently for sale. It covers an area of 99 sq.m. and occupies the 3rd floor of a 17-story new building. The apartment is newly renovated. Centralized heating and air conditioning system is installed. An open balcony with a nice view of mount Ararat is available. The apartment also has 2 french balconies. Bathroom is equipped with necessary appliances. Security system is installed. The building also has an underground parking. Garbage is being carried out. All necessary shops and entertainment places are located nearby. ",40.18087288,44.50468558
Gay ave.,3 room,81 m2," floor 4/16 , new construction "," Sale - 120,000 $ "," Two - bedroom, one-bathroom apartment on Gay - moldovakan crossroads is currently for sale. It covers an area of 81 sq.m. and occupies the 4th floor of a 16-story new building. The apartment is newly renovated. Local heating system is installed. The kitchen and the bathroom are covered with European tiles, the apartment is equipped with modern, fashionable furniture and appliances. The corridor is spacious and is full of inbuilt wardrobes. The apartment is for sale together with furniture and home appliances. An underground parking lot with an area of 20 sq.m and with a metal blind is available. The building has no service fee. ",40.20328921,44.56440344
An. Mikoyan,2 room,76 m2," floor 11/11 , new construction "," Sale - 99,000 $ "," One - bedroom, one-bathroom spacious apartment on Mikoyan street, next to the building of Armenia TV is currently for sale. It covers an area of 76 sq.m. and occupies the 11th floor of a 11-story new building. The apartment is newly renovated and has beautiful light and color solutions. Local heating system is installed alongside with an air conditioner. Enclosed and Open balconies with a nice view of Hrazdan gorge are available. The building has a well-maintained, green yard, an outdoor parking and a playground. The apartment is for sale together with furniture and home appliances. ",40.209993,44.488256
D. Demirchyan 40,2 room,90 m2, floor 6/6 ," Sale - 165,000 $ "," For sale is a 1-bedroom, 2-bathroom apartment with an area of 90 sqm on the 6th floor of a 6-story stone house of a special project on Demirtchyan Street near the Parliament. The apartment is completely renovated with the use of exclusively high-quality building materials, local heating and air conditioning systems are installed, the floor is covered with press granite. The bathrooms and kitchen are finished with Spanish tiles and equipped with plumbing fixtures. All rooms and the kitchen are furnished, there is a closet, built-in wardrobes. There is an open balcony with a beautiful view. In the courtyard there is a garage of 45 sqm for 2 cars. Nearby there are shops, a school, places of recreation and entertainment. It is sold with furniture and appliances. ",40.1877474,44.50632652
Buzand 91,3 room,90 m2," floor 12/18 , new construction "," Sale - 310,000 $ "," Two - bedroom, one-bathroom spacious and luxurious apartment on Buzand street, next to the park is currently for sale. It covers an area of 90 sq.m. and occupies the 12th floor of a 18-story new building. The apartment is newly renovated and yet uninhabited. Centralized heating system is installed alongside with an air conditioner. There is a separate closet in one of the bedrooms. The living room and bedrooms have a spacious open balcony with a nice view of mount Ararat. High quality construction materials were used for the renovation. With an additional payment you can also buy the furniture. The apartment is located in one of the best parts of the city. All the recreation and entertainment places are located nearby. The design of the building was done by Chief Architect Narek Sargsyan. The building has a three-storey underground parking and reception. ",40.182948,44.507076
Keri street,5 room,320 m2," floor 18/18 , new construction ", Sale - on request ," A very spacious 4-bedroom, bright, elegant, luxuriously renovated duplex apartment with Italian furniture is currently for sale on Qeru street in Blur neighborhood. It covers an area of 320 sq.m and is located on the 18th and 19th floors of an 18-storey new elite building. A terrace with an area of 100 sq.m is available. The apartment meets the latest European standards, has a unique design, due to competent furniture, is very comfortable. The floor is covered with gilded parquet and press granite. The spacious hallways are full of inbuilt wardrobes. The 1st floor is occupied by a living room and the kitchen with their open balconies, a bedroom with its bathroom, a closet, a bathroom for guests. On the 2nd floor you can find 3 bedrooms, 2 bathrooms, laundry or storage room. The last floor is occupied by a furnished, barbecue terrace with a cover, which is adapted to enjoy it in rainy weather, to admire the view of the city and Mount Ararat. The heating system is individual and the cooling is centralized. The building has a security system, a beautiful outdoor pool, a large swimming pool, a gym, a tennis court, a barbecue, a playground and a shop-restaurant, which is located on the 1st floor. The apartment is for sale together with all the furniture and appliances. ",40.19989563,44.48627654
Tamanyan,3 room,88 m2, floor 3/5 ," Sale - 310,000 $ "," For sale or rent is a 2-bedroom, 2-bathroom elegant, comfortable apartment with an area of 88 sq. m. on the 3rd floor of a 5-story stone house on Tamanyan Street, near the Cascade. The apartment is completely renovated, local heating and air conditioning systems are installed, two bathrooms are tiled and equipped with plumbing. All rooms are equipped with modern equipment. The apartment has a closed balcony with a fireplace. All types of communication are available. The apartment is provided with furniture and appliances. ",40.18980758,44.51595619
A. Khachatryan 23,3 room,94 m2, floor 1/9 ," Sale - 92,000 $ "," For sale is a 2-bedroom, 1-bathroom apartment with an area of 94 sqm on the 1st floor of a 9-story building on A. Khachaturian Street. The apartment is old renovated, the floor is covered with parquet. The bathroom is tiled and equipped with plumbing. The apartment is furnished and equipped with household appliances. There is a basement of 8 sqm. There is a playground in the well-kept yard. Nearby there are shops, banks, a school, cafes and transport stops. ",40.207244,44.501973
Mashtots avenue,3 room,73 m2, floor 2/5 ," Sale - 189,000 $ "," stone building, building by tamanyan, euro renovated, security system, sunny, furnished, open balcony, new wiring, new water tubes, metal door, euro windows, hardwood flooring, air conditioner, appliances, built-in kitchen furniture, kitchen tiled, bathroom tiled, persistent water, electricity, natural gas, natural gas boiler, garage of stone, intercom, balcony, bedrooms: 2 ",40.18960265,44.51749329
Azatutyan ave.,5 room,140 m2, floor 2/4 ," Sale - 163,300 $ "," Three - bedroom, one-bathroom apartment on Azatutyan - Babayan crossroads is currently for sale. It covers an area of 140 sq.m. and occupies the 2nd floor of a 4-story building. The apartment is newly renovated. Local heating system is installed alongside with an air conditioner. 2 open balconies are available. The apartment is for sale both with furniture and without furniture. Supermarket ""Nor Zovk"", bank branches and the bus stop are located nearby. ",40.20305032,44.52293469
Komitas ave. 23/1,3 room,77 m2, floor 1/5 ," Sale - 80,000 $ "," For sale is a 2-bedroom, 2-bathroom apartment with an area of 77 sqm on the 1st floor of a 5-story stone building on Komitas Avenue. The apartment needs renovation. In the courtyard there is a small plot of land for parking. There are shops and entertainment venues nearby. ",40.20547536,44.50232591
Buzand,2 room,60 m2," floor 8/15 , new construction "," Sale - 195,000 $ "," One - bedroom, one-bathroom apartment on Buzand Street, next to the park ""New Yerevan"" is currently for rent. It covers an area of 60 sq.m. and occupies the 8th floor of a 15-story new building. The apartment is newly renovated. Centralized heating and air conditioning system is installed. The apartment is furnished and equipped with the necessary appliances. All the necessary entertainment places and shops are located nearby. If needed we provide a driver who will meet you at the airport and will bring you to the beforehand reserved address. Daily rent: 70-90$ Viber WhatsApp +37477600-010 Arthur ",40.18252909,44.50732217
Y.Kochar,2 room,90 m2," floor 8/9 , new construction "," Sale - 200,000 $ "," One - bedroom beautiful apartment on Y.Kochar street near the supermarket ""SAS"" is currently for rent. It covers an area of 90 sq.m. and occupies the 8th floor of a new residential 9 storey building. The apartment is renovated and yet uninhabited. All the rooms are furnished and equipped with the necessary appliances. Local heating system and air conditioners are installed. The apartment has 2 open balconies. Numerous shops and entertainment centers can be found nearby. If wanted, we can offer services of a professional driver who will meet you at the airport and will safely take you to the beforehand reserved apartment. The daily rent is 70-100 $ Viber,WhatsApp,Telegram +37477600-010 Arthur ",40.17166003,44.518492
Northern av.,3 room,170 m2, floor 4/5 ," Sale - 350,000 $ "," Three-bedroom duplex with 170 sq.m. area is for rent on the 4th and 5th floors of 4 storey stone building. Located in Teryan Street, near Paulaner Beerhouse. The apartment is fully repaired, not populated and has an unique design. The entrance door is metallic, the windows are modern plastic ones, installed air conditioner, the floor is covered with laminate. Provided with constant water and gas. Heated by gas boiler. The kitchen and the bathroom are tiled with european production tiles and equipped with sanitary ware. There are 3 bathrooms in the apartment. All rooms are furnished. Cable TV and internet connection are available. There are built-in-wardrobes in the hallway and in the kitchen. If needed we provide a driver who will meet you at the airport and will bring you to the beforehand reserved address. Short term: 140-200$ Viber,WhatsApp +(374)77600-010 Arthur ",40.18301089,44.51475696
Pushkin,3 room,63 m2, floor 4/4 ," Sale - 149,000 $ "," Two - bedroom, one-bathroom apartment on Pushkin street, next to the Malkhas Jazz Club is currently for sale or for rent. It covers an area of 63 sq.m. and occupies the 4th floor of a 4-story building. The apartment is newly renovated. Local heating system is installed alongside with an air conditioner. Cable TV and Internet are available. Kitchenware and bed linen will be provided. An outdoor parking will be provided. If needed we provide a driver who will meet you at the airport and will bring you to the beforehand reserved address. Long term rent: 600-900$, daily rent: 50-90 $ Viber WhatsApp +(374)77600-010 Arthur ",40.184436,44.510534
Tamanyan,4 room,121 m2, floor 5/5 ," Sale - 449,000 $ "," For sale or rent is a 3-bedroom, 2-bathroom bright, spacious duplex apartment with a unique design solution, with an area of 121 sqm on the 5-6 floors of a 5-story stone house on Tamanyan Street. The apartment is completely renovated, local heating and air conditioning systems are installed, the floor is covered with hardwood. On the first floor there is a spacious living room, kitchen, bathroom, on the second floor there are 3 bedrooms, shower room. The open-air balcony offers views of the Cascade complex. All furniture, appliances, bathroom tiles and plumbing are expensive. Near the house there are shops and entertainment venues. There are services: delivery from the airport, apartment cleaning, tourist services. ",40.18919,44.515646
Komitas ave. 15,4 room,105 m2," floor 5/18 , new construction "," Sale - 299,000 $ "," For sale is a 3-bedroom, 2-bathroom apartment with an area of 104.5 sqm on the 5th floor of an 18-story new monolithic building on Komitas Avenue. The apartment has been completely renovated in accordance with the latest European standards. Local heating and air conditioning systems are installed, as well as floor-to-ceiling windows, the floor is covered with laminate. Both bathrooms are lined with European tiles and equipped with plumbing fixtures. The rooms and the kitchen are furnished with modern original furniture, there are built-in closets. The open balcony offers a beautiful view of the Avenue and Mount Ararat. The building has 2 elevators. There are shops, banks and entertainment venues nearby. Sold with furniture and appliances. ",40.20356626,44.4994791
Lvovyan,4 room,141 m2," floor 10/16 , new construction "," Sale - 165,000 $ "," For sale is a 2-bedroom, 2-bathroom spacious apartment with an area of 141 sqm on the 10th floor of a 16-story new monolithic building, at the intersection of Guy Avenue and Lvovyan Street. The apartment is in zero condition, the rooms are separate, the walls are plastered, panoramic windows are installed. The apartment has 2 bathrooms and an open balcony with a wonderful view. The house has 2 elevators and a security system. Nearby there are shops, banks, schools, transport stops. ",40.20326784,44.56442774
Vardanants,6 room,243 m2," floor 18/23 , new construction ", Sale - on request ," Four - bedroom, four-bathroom apartment on Vardanants - Khanjyan crossroads, next to the flea market ""Vernissage"" is currently for sale. It covers an area of 243 sq.m. and occupies the 18th floor of a 23-story new building. The apartment consists of 2 separate apartments, which are located next to each other. One of the apartments is fully renovated and furnished. Iron door, euro windows are installed, the floor of the living room and kitchen is covered with tiles, and the floor of the living room and the bedroom is covered with parquet. The other apartment is currently undergoing renovation. The apartments can be connected to each other on request. The repair works have been done only with high quality construction materials. By connecting the apartments, you will have: a spacious corridor, a large living room, a wardrobe, 3 bedrooms (one of which has a separate bathroom and a wardrobe), 2 bathrooms, a laundry room, 2 open balconies. Centralized heating system is installed along with an air conditioner. Security system is installed. With an additional payment you can also buy an underground parking spot. The apartments are for sale separately. One - bedroom apartment - $ 315,000, three - bedroom apartment - $ 550,000. However, if you buy it together, you will have not only a spacious apartment, but also a discount, because if you buy it together, you will pay $ 750,000. ",40.17555672,44.51985518
