,addr,ruler,lat,lon,num_rooms,num_floor,num_price,text,dominant_topic,topic_percentage_contrib,sale_category,house_prices,currency,house_prices_usd
25,Fuchik,sixty-three square metres,40.20542145,44.47611052,3 room,  2/5 ,"Sale-65,000$",Fuchik three room sixty-three square metres  floor second/fifth  Sale-65000$ For sale apartment area sqm nd floor stone house intersection Fuchik Margaryan street The apartment completely renovated floor covered laminate tile local heating system installed The bathroom tiled equipped plumbing The apartment sold kitchen furniture closet Near house school shop educational institution transport stop On ground floor privatized plot sqm used commercial purpose ,1.0,0.6193000078201294,Sale,65000.0,$,65000.0
26,Erebuni,ninety-nine square metres,40.14193811,44.52851876,4 room,  3/5 ,"Sale-93,000$",Erebuni four room ninety-nine square metres  floor third/fifth  Sale-93000$ For sale а spacious apartment area sqm th floor stone building Erebuni Street The apartment completely renovated local heating system installed floor covered laminate The apartment furnished equipped household appliance The bathroom tiled equipped plumbing fixture There open balcony Nearby shop entertainment venue school kindergarten The apartment sold furnished ,0.0,0.7156000137329102,Sale,93000.0,$,93000.0
27,N  Zaryan,two hundred and twenty square metres,40.20365799,44.51716402,4 room,"  13/16 , new construction ","Sale-330,000$",N  Zaryan four room two hundred and twenty square metres  floor thirteenth/sixteenth   new construction  Sale-330000$ Three bedroom spacious apartment Zaryan street near DDD pool currently sale It cover area occupies th floor new residential storey building The apartment renovated Centralized heating system installed The building underground parking ,2.0,0.9797000288963318,Sale,330000.0,$,330000.0
28,Moldavakan,seventy-eight square metres,40.20637052,44.5690689,3 room,  1/9 ,"Sale-67,000$",Moldavakan three room seventy-eight square metres  floor first/ninth  Sale-67000$ For sale apartment area sqm st floor panel building Moldovakan Street The apartment old overhaul local heating system installed floor covered parquet tile Both bathroom tiled equipped plumbing room kitchen comfortably furnished basement sqm entrance apartment There outdoor parking courtyard Nearby Sport Hills complex various shop school transport stop ,0.0,0.9854999780654907,Sale,67000.0,$,67000.0
29,Mashtots avenue,ninety-three square metres,40.18890296,44.51759704,3 room,  4/4 ,"Sale-270,000$",Mashtots avenue three room ninety-three square metres  floor fourth/fourth  Sale-270000$ For sale bright apartment area sqm th floor stone building Mashtots Avenue near Nairi cinema The building historical cultural value roof completely renovated The apartment completely renovated individual heating system installed floor covered parquet tile kitchen bathroom tiled equipped plumbing There open balcony overlooking street The apartment comfortably furnished equipped household appliance There garage car Nearby bank shop cafe entertainment venue ,1.0,0.954800009727478,Sale,270000.0,$,270000.0
30,Northern av ,seventy square metres,40.18133244,44.51420274,2 room,"  11/11 , new construction ","Sale-240,000$",Northern av  two room seventy square metres  floor eleventh/eleventh   new construction  Sale-240000$ One bedroom apartment Northern Avenue currently sale It cover area occupies th floor new building The apartment newly renovated Local heating system installed alongside air conditioner An open balcony nice view available The apartment sale together furniture home appliance Numerous shop bank branch restaurant cafe located nearby ,2.0,0.9855999946594238,Sale,240000.0,$,240000.0
31,Buzand,one hundred and six square metres,40.183092,44.506465,4 room,"  13/16 , new construction ","Sale-265,000$",Buzand four room one hundred and six square metres  floor thirteenth/sixteenth   new construction  Sale-265000$ Three bedroom apartment Buzand street next park New Yerevan currently sale It cover area occupies th floor new building An open balcony available With additional payment also buy underground parking spot ,2.0,0.9794999957084656,Sale,265000.0,$,265000.0
32,Buzand,forty-six square metres,40.17991524,44.51142946,2 room,"  8/16 , new construction ","Sale-180,000$",Buzand two room forty-six square metres  floor eighth/sixteenth   new construction  Sale-180000$ situ concrete renovated security system security worker sunny furnished new wiring new water tube metal door euro window laminate flooring appliance kitchen furniture kitchen tiled bathroom tiled persistent water electricity natural gas internet cable tv centralized heating elevator building intercom bedroom ,0.0,0.9851999878883362,Sale,180000.0,$,180000.0
33,Buzand,forty-three square metres,40.17982507,44.51136508,1 room,"  5/15 , new construction ","Sale-180,000$",Buzand one room forty-three square metres  floor fifth/fifteenth   new construction  Sale-180000$ One bedroom cozy modern apartment Buzand street currently sale rent It cover area occupies th floor new residential storey building The apartment renovated Centralized heating installed All room furnished equipped necessary appliance Numerous shop supermarket cafe entertainment center located neary ,2.0,0.9833999872207642,Sale,180000.0,$,180000.0
34,Y Kochar,seventy-eight square metres,40.17278991,44.52046261,3 room,  2/10 ,"Sale-120,000$",Y Kochar three room seventy-eight square metres  floor second/tenth  Sale-120000$ Two bedroom apartment Kochar street next park Oxakadzev Aygi currently sale daily long term rent It cover area occupies nd floor building The apartment newly renovated yet uninhabited Local heating system installed alongside air conditioner The apartment furnished equipped home appliance Post office supermarket Sas school N bus stop located nearby ,2.0,0.9865000247955322,Sale,120000.0,$,120000.0
35,Buzand 17,fifty-two square metres,40.179957,44.511424,2 room,"  9/17 , new construction ","Sale-200,000$",Buzand 17 two room fifty-two square metres  floor ninth/seventeenth   new construction  Sale-200000$ One bedroom studio apartment Buzand street next Republic square currently sale rent It cover area occupies th floor new building The apartment newly renovated Centralized heating system installed alongside air conditioner Cable TV Internet available The apartment furnished equipped home appliance All necessary shop entertainment place located nearby ,2.0,0.9861999750137329,Sale,200000.0,$,200000.0
36,Tumanyan St ,two hundred square metres,40.17889484,44.52268724,5 room,  4/5 ,"Sale-330,000$",Tumanyan St  five room two hundred square metres  floor fourth/fifth  Sale-330000$ For sale rent duplex apartment original style area sqm rd th floor stone building intersection Khanjyan Tumanyan street The apartment completely renovated local heating system panoramic window floor ceiling installed floor covered parquet heated tile The bathroom lined European tile equipped plumbing fixture On st floor spacious living room fireplace kitchen bathroom On second floor bedroom bathroom There open balcony view park The room kitchen beautifully furnished equipped household appliance accessory There possibility sole use elevator Nearby shop entertainment venue transport stop ,1.0,0.9894999861717224,Sale,330000.0,$,330000.0
37,Leo,ninety-nine square metres,40.18087288,44.50468558,3 room,"  3/17 , new construction ","Sale-250,000$",Leo three room ninety-nine square metres  floor third/seventeenth   new construction  Sale-250000$ Two bedroom apartment Leo Saryan crossroad one best building city currently sale It cover area occupies rd floor new building The apartment newly renovated Centralized heating air conditioning system installed An open balcony nice view mount Ararat available The apartment also french balcony Bathroom equipped necessary appliance Security system installed The building also underground parking Garbage carried All necessary shop entertainment place located nearby ,2.0,0.8453999757766724,Sale,250000.0,$,250000.0
38,Gay ave ,eighty-one square metres,40.20328921,44.56440344,3 room,"  4/16 , new construction ","Sale-120,000$",Gay ave  three room eighty-one square metres  floor fourth/sixteenth   new construction  Sale-120000$ Two bedroom apartment Gay moldovakan crossroad currently sale It cover area occupies th floor new building The apartment newly renovated Local heating system installed The kitchen bathroom covered European tile apartment equipped modern fashionable furniture appliance The corridor spacious full inbuilt wardrobe The apartment sale together furniture home appliance An underground parking lot area metal blind available The building service fee ,2.0,0.6438000202178955,Sale,120000.0,$,120000.0
39,An  Mikoyan,seventy-six square metres,40.209993,44.488256,2 room,"  11/11 , new construction ","Sale-99,000$",An  Mikoyan two room seventy-six square metres  floor eleventh/eleventh   new construction  Sale-99000$ One bedroom spacious apartment Mikoyan street next building Armenia TV currently sale It cover area occupies th floor new building The apartment newly renovated beautiful light color solution Local heating system installed alongside air conditioner Enclosed Open balcony nice view Hrazdan gorge available The building green yard outdoor parking playground The apartment sale together furniture home appliance ,2.0,0.8180999755859375,Sale,99000.0,$,99000.0
40,D  Demirchyan 40,ninety square metres,40.1877474,44.50632652,2 room,  6/6 ,"Sale-165,000$",D  Demirchyan 40 two room ninety square metres  floor sixth/sixth  Sale-165000$ For sale apartment area sqm th floor stone house special project Demirtchyan Street near Parliament The apartment completely renovated use exclusively building material local heating air conditioning system installed floor covered press granite The bathroom kitchen finished Spanish tile equipped plumbing fixture All room kitchen furnished closet wardrobe There open balcony beautiful view In courtyard garage sqm car Nearby shop school place recreation entertainment It sold furniture appliance ,0.0,0.862500011920929,Sale,165000.0,$,165000.0
41,Buzand 91,ninety square metres,40.182948,44.507076,3 room,"  12/18 , new construction ","Sale-310,000$",Buzand 91 three room ninety square metres  floor twelfth/eighteenth   new construction  Sale-310000$ Two bedroom spacious luxurious apartment Buzand street next park currently sale It cover area occupies th floor new building The apartment newly renovated yet uninhabited Centralized heating system installed alongside air conditioner There separate closet one bedroom The living room bedroom spacious open balcony nice view mount Ararat High quality construction material used renovation With additional payment also buy furniture The apartment located one best part city All recreation entertainment place located nearby The design building done Chief Architect Narek Sargsyan The building underground parking reception ,2.0,0.7621999979019165,Sale,310000.0,$,310000.0
42,Keri street,three hundred and twenty square metres,40.19989563,44.48627654,5 room,"  18/18 , new construction ",Sale-onrequest,Keri street five room three hundred and twenty square metres  floor eighteenth/eighteenth   new construction  Sale-onrequest A spacious bright elegant luxuriously renovated duplex apartment Italian furniture currently sale Qeru street Blur neighborhood It cover area located th th floor new elite building A terrace area available The apartment meet latest European standard unique design due competent furniture comfortable The floor covered gilded parquet press granite The spacious hallway full inbuilt wardrobe The st floor occupied living room kitchen open balcony bedroom bathroom closet bathroom guest On nd floor find bedroom bathroom laundry storage room The last floor occupied furnished barbecue terrace cover adapted enjoy rainy weather admire view city Mount Ararat The heating system individual cooling centralized The building security system beautiful outdoor pool large swimming pool gym tennis court barbecue playground located st floor The apartment sale together furniture appliance ,2.0,0.6061999797821045,Sale,0.0,,0.0
43,Tamanyan,eighty-eight square metres,40.18980758,44.51595619,3 room,  3/5 ,"Sale-310,000$",Tamanyan three room eighty-eight square metres  floor third/fifth  Sale-310000$ For sale rent elegant comfortable apartment area sq rd floor stone house Tamanyan Street near Cascade The apartment completely renovated local heating air conditioning system installed two bathroom tiled equipped plumbing All room equipped modern equipment The apartment closed balcony fireplace All type communication available The apartment provided furniture appliance ,1.0,0.9840999841690063,Sale,310000.0,$,310000.0
44,A  Khachatryan 23,ninety-four square metres,40.207244,44.501973,3 room,  1/9 ,"Sale-92,000$",A  Khachatryan 23 three room ninety-four square metres  floor first/ninth  Sale-92000$ For sale apartment area sqm st floor building Khachaturian Street The apartment old renovated floor covered parquet The bathroom tiled equipped plumbing The apartment furnished equipped household appliance There basement sqm There playground yard Nearby shop bank school cafe transport stop ,0.0,0.982200026512146,Sale,92000.0,$,92000.0
45,Mashtots avenue,seventy-three square metres,40.18960265,44.51749329,3 room,  2/5 ,"Sale-189,000$",Mashtots avenue three room seventy-three square metres  floor second/fifth  Sale-189000$ stone building building tamanyan euro renovated security system sunny furnished open balcony new wiring new water tube metal door euro window hardwood flooring air conditioner appliance kitchen furniture kitchen tiled bathroom tiled persistent water electricity natural gas natural gas boiler garage stone intercom balcony bedroom ,0.0,0.9857000112533569,Sale,189000.0,$,189000.0
46,Azatutyan ave ,one hundred and forty square metres,40.20305032,44.52293469,5 room,  2/4 ,"Sale-163,300$",Azatutyan ave  five room one hundred and forty square metres  floor second/fourth  Sale-163300$ Three bedroom apartment Azatutyan Babayan crossroad currently sale It cover area occupies nd floor building The apartment newly renovated Local heating system installed alongside air conditioner open balcony available The apartment sale furniture without furniture Supermarket Nor Zovk bank branch bus stop located nearby ,2.0,0.9833999872207642,Sale,163300.0,$,163300.0
47,Komitas ave  23 1,seventy-seven square metres,40.20547536,44.50232591,3 room,  1/5 ,"Sale-80,000$",Komitas ave  23 1 three room seventy-seven square metres  floor first/fifth  Sale-80000$ For sale apartment area sqm st floor stone building Komitas Avenue The apartment need renovation In courtyard small plot land parking There shop entertainment venue nearby ,0.0,0.590399980545044,Sale,80000.0,$,80000.0
48,Buzand,sixty square metres,40.18252909,44.50732217,2 room,"  8/15 , new construction ","Sale-195,000$",Buzand two room sixty square metres  floor eighth/fifteenth   new construction  Sale-195000$ One bedroom apartment Buzand Street next park New Yerevan currently rent It cover area occupies th floor new building The apartment newly renovated Centralized heating air conditioning system installed The apartment furnished equipped necessary appliance All necessary entertainment place shop located nearby If needed provide driver meet airport bring beforehand reserved address Daily rent Viber WhatsApp Arthur ,2.0,0.9878000020980835,Sale,195000.0,$,195000.0
49,Y Kochar,ninety square metres,40.17166003,44.518492,2 room,"  8/9 , new construction ","Sale-200,000$",Y Kochar two room ninety square metres  floor eighth/ninth   new construction  Sale-200000$ One bedroom beautiful apartment street near supermarket SAS currently rent It cover area occupies th floor new residential storey building The apartment renovated yet uninhabited All room furnished equipped necessary appliance Local heating system air conditioner installed The apartment open balcony Numerous shop entertainment center found nearby If wanted offer service professional driver meet airport safely take beforehand reserved apartment The daily rent Viber WhatsApp Telegram Arthur ,2.0,0.9890000224113464,Sale,200000.0,$,200000.0
50,Northern av ,one hundred and seventy square metres,40.18301089,44.51475696,3 room,  4/5 ,"Sale-350,000$",Northern av  three room one hundred and seventy square metres  floor fourth/fifth  Sale-350000$ duplex area rent th th floor storey stone building Located Teryan Street near Paulaner Beerhouse The apartment fully repaired populated unique design The entrance door metallic window modern plastic one installed air conditioner floor covered laminate Provided constant water gas Heated gas boiler The kitchen bathroom tiled european production tile equipped sanitary ware There bathroom apartment All room furnished Cable TV internet connection available There hallway kitchen If needed provide driver meet airport bring beforehand reserved address Short term Viber WhatsApp Arthur ,2.0,0.7584999799728394,Sale,350000.0,$,350000.0
51,Pushkin,sixty-three square metres,40.184436,44.510534,3 room,  4/4 ,"Sale-149,000$",Pushkin three room sixty-three square metres  floor fourth/fourth  Sale-149000$ Two bedroom apartment Pushkin street next Malkhas Jazz Club currently sale rent It cover area occupies th floor building The apartment newly renovated Local heating system installed alongside air conditioner Cable TV Internet available Kitchenware bed linen provided An outdoor parking provided If needed provide driver meet airport bring beforehand reserved address Long term rent daily rent Viber WhatsApp Arthur ,2.0,0.9882000088691711,Sale,149000.0,$,149000.0
52,Tamanyan,one hundred and twenty-one square metres,40.18919,44.515646,4 room,  5/5 ,"Sale-449,000$",Tamanyan four room one hundred and twenty-one square metres  floor fifth/fifth  Sale-449000$ For sale rent bright spacious duplex apartment unique design solution area sqm floor stone house Tamanyan Street The apartment completely renovated local heating air conditioning system installed floor covered hardwood On first floor spacious living room kitchen bathroom second floor bedroom shower room The balcony offer view Cascade complex All furniture appliance bathroom tile plumbing expensive Near house shop entertainment venue There service delivery airport apartment cleaning tourist service ,1.0,0.9894000291824341,Sale,449000.0,$,449000.0
53,Komitas ave  15,one hundred and five square metres,40.20356626,44.4994791,4 room,"  5/18 , new construction ","Sale-299,000$",Komitas ave  15 four room one hundred and five square metres  floor fifth/eighteenth   new construction  Sale-299000$ For sale apartment area sqm th floor new monolithic building Komitas Avenue The apartment completely renovated accordance latest European standard Local heating air conditioning system installed well window floor covered laminate Both bathroom lined European tile equipped plumbing fixture The room kitchen furnished modern original furniture closet The open balcony offer beautiful view Avenue Mount Ararat The building elevator There shop bank entertainment venue nearby Sold furniture appliance ,1.0,0.503000020980835,Sale,299000.0,$,299000.0
54,Lvovyan,one hundred and forty-one square metres,40.20326784,44.56442774,4 room,"  10/16 , new construction ","Sale-165,000$",Lvovyan four room one hundred and forty-one square metres  floor tenth/sixteenth   new construction  Sale-165000$ For sale spacious apartment area sqm th floor new monolithic building intersection Guy Avenue Lvovyan Street The apartment zero condition room separate wall plastered panoramic window installed The apartment bathroom open balcony wonderful view The house elevator security system Nearby shop bank school transport stop ,1.0,0.8525999784469604,Sale,165000.0,$,165000.0
55,Vardanants,two hundred and forty-three square metres,40.17555672,44.51985518,6 room,"  18/23 , new construction ",Sale-onrequest,Vardanants six room two hundred and forty-three square metres  floor eighteenth/twenty-third   new construction  Sale-onrequest Four bedroom apartment Vardanants Khanjyan crossroad next flea market Vernissage currently sale It cover area occupies th floor new building The apartment consists separate apartment located next One apartment fully renovated furnished Iron door euro window installed floor living room kitchen covered tile floor living room bedroom covered parquet The apartment currently undergoing renovation The apartment connected request The repair work done high quality construction material By connecting apartment spacious corridor large living room wardrobe bedroom one separate bathroom wardrobe bathroom laundry room open balcony Centralized heating system installed along air conditioner Security system installed With additional payment also buy underground parking spot The apartment sale separately One bedroom apartment three bedroom apartment However buy together spacious apartment also discount buy together pay ,2.0,0.6367999911308289,Sale,0.0,,0.0
56,Vardanants,one hundred and fifty-six square metres,40.17555663,44.51984309,4 room,"  18/23 , new construction ","Sale-460,000$",Vardanants four room one hundred and fifty-six square metres  floor eighteenth/twenty-third   new construction  Sale-460000$ Two bedroom apartment Vardanants Khanjyan crossroad next flea market Vernissage currently sale It cover area occupies th floor new building The apartment currently undergoing renovation There spacious corridor large living room wardrobe bedroom one separate bathroom wardrobe bathroom laundry room open balcony kitchen apartment Centralized heating system installed along air conditioner Security system installed With additional payment also buy underground parking spot ,2.0,0.9878000020980835,Sale,460000.0,$,460000.0
