addr,rooms,ruler,floor,price,descr
Վերին Անտառային 178/2,3 սենյակ,117 մ2," հարկ 2/3 , նորակառույց ", Վաճառք - պայման. ," Վաճառվում է կամ վարձակալությամբ է տրվում 3 սենյականոց հարմարավետ, շքեղ իտալական կահույքով կահավորված բնակարան՝ 117 ք.մ. մակերեսով, որը գտնվում է Վերին Անտառային փողոցում՝ 3 հարկանի նորակառույց շենքի 2-րդ հարկում: Ջեռուցում և հովացումը անհատական է։ Սանհանգույցները պատված են սալիկներով, հագեցած են սանտեխնիկայով: Բաց պատշգամբներից բացվում է հիանալի տեսարան դեպի ողջ քաղաքը և Արարատ լեռը: Առկա է կաբելային հեռուստատեսություն և ինտերնետ։ Շենքն ունի անվտանգության համակարգ և բացօթյա կայանատեղ։ Վաճառվում է կահույքի և տեխնիկայի հետ միասին: "
Մ. Ավետիսյան,1 սենյակ,49 մ2, հարկ 1/5 ," Վաճառք - 46,000 $ "," Վաճառվում է 1 սենյականոց (2-ի ձևափոխված) բնակարան 49 քմ մակերեսով, որը գտնվում է Մինաս Ավետիսյան և Դրո փողոցների խաչմերուկի մոտակայքում` չեխական նախագծի 5 հարկանի քարե շենքի 1-ին բարձր հարկում։ Բնակարանը նորոգված է, ջեռուցվում է տուրբո վառարանի միջոցով, տեղադրված է ջրատաքացուցիչ, եվրո պատուհաններ, հատակը ծածկված է մանրահատակով։ Սանհանգույցը հին սալիկապատված է, ապահովված է սանտեխնիկայով։ Ունի փակ պատշգամբ, նկուղ` 10 քմ մակերեսով և առանձին մուտք փողոցից։ Բակը խնամված է, կա խաղահրապարակ։ Մոտակայքում կան բանկեր, դպրոցներ, պուրակ, խանութներ ու ժամանցի վայրեր։ Բնակարանը հարմար է օգտագործել նաև որպես գրասենյակ կամ կոմերցիոն տարածք։ "
Ծարավ Աղբյուր,4 սենյակ,118 մ2," հարկ 7/14 , նորակառույց "," Վաճառք - 180,000 $ "," Վաճառվում է 4 սենյականոց բնակարան` 118 քմ մակերեսով, որը գտնվում է Ծարավ Աղբյուր փողոցում, 14 հարկանի մոնոլիտ շենքի 7-րդ հարկում։ Բնակարանը կապիտալ վերանորոգված է, հատակը ծածկված է բարձրորակ գերմանական՝ ջերմամեկուսիչ լամինատով ու պրեսգրանիտով, տեղադրված են անհատական ջեռուցման և օդորակման համակարգեր, եվրո պատուհաններ։ Առաստաղի բարձրությունը 3 մ է, ունի 5 քմ մակերեսով ներկառուցված դարակներով նկուղ ու 2 խորդանոց։ 2 սանհանգույցները և ստուդիո ոճի խոհանոցը սալիկապատված են եվրոպական արտադրության սալիկներով և հագեցած են սանտեխնիկայով։ Ննջասենյակներից մեկն ունի կից սանհանգույց և զգեստասենյակ։ Կա 2 բաց պատշգամբ՝ հիանալի տեսարանով։ Բնակարանը ապահովված է ժամանակակից կահույքով և կենցաղային տեխնիկայով։ Շենքն ունի 2 վերելակ, դոմոֆոն։ Շենքի 1-ին հարկում առկա է մանկական զարգացման կենտրոն, գեղեցկության սրահ ու սրճարան։ Առկա է 2 հարկանի ավտոկայանատեղի՝ հավելավճարով։ Բակը շատ կոկիկ է, կա խաղահրապարակ։ Մոտակայքում կա գեղեցիկ այգի՝ շատրվաններով, սպորտդպրոց, որտեղ կա սահադաշտ, պրոթեզավորման կենտրոն, դպրոց, մանկապարտեզ, խանութներ, բանկեր և ժամանցի վայրեր։ Վաճառվում է կահույքի և կենցաղային տեխնիկայի հետ միասին։ "
Քեռու,4 սենյակ,163 մ2," հարկ 17/22 , նորակառույց "," Վաճառք - 310,000 $ "," Քեռու փողոցում` Avnik բնակելի` 22 հարկանի շենքի 17-րդ հարկում վաճառվում է 4 սենյականոց եվրովերանորոգված բնակարան, որի ընդհանուր մակերեսը կազմում է 163 քմ։ Բնակարանը արևկող է, նորոգվել է բարձրորակ նյութերով, ինտերիերի աշխատանքներն իրականացվել են դիզայներական լուծումներով, կահավորված է նորաոճ կահույքով, ապահովված է տեխնիկայով։ Տեղադրված է ջեռուցման անհատական համակարգ, օդորակիչ։ Առկա է 2 սանհանգույց, որոնք պատված են բարձրորակ սալիկներով, հագեցած են սանտեխնիկայով: Բնակարանն ունի առանձին զգեստասենյակ, նաև շոգեբաղնիք: Հատակը ծածկված է մանրահատակով ու սալիկներով: Ունի 3 բաց պատշգամբ, որոնցից բացվում են տպավորիչ տեսարաններ: Շենքն ապահովված է մարզասրահով, լողավազանով, մարզադաշտով և անվտանգության համակարգով, գործում է 2 վերելակ։ Առկա է 2 ստորգետնյա կայանատեղի, որոնք հնարավոր է գնել առանձին` յուրաքանչյուրը 20.000 $: Մոտակայքում են գտնվում անհրաժեշտ խանութները, բանկերը և այլն: Վաճառվում է կահույքի և տեխնիկայի հետ: "
Գրիբոյեդով,3 սենյակ,94 մ2, հարկ 3/5 , Վաճառք - պայման. ," Վարձակալության է տրվում հարմարավետ` 3 սենյականոց բնակարան, որի ընդհանուր մակերեսը 94 քմ է և գտնվում է 5 հարկանի քարե շենքի 3-րդ հարկում: Բնակարանը կապիտալ նորոգված է, մոդեռն ոճով կահավորված, համալրված է անհրաժեշտ տեխնիկայով: Ջեռուցվում է գազի կաթսայի միջոցով, տեղադրված է մուտքի երկաթե դուռ, եվրոպատուհաններ, հատակը ծածկված է բարձրորակ լամինատով, 2 լոգասենյակները սալիկապատված են եվրոպական արտադրության սալիկներով, հագեցած են սանտեխնիկայով: Առկա է բաց պատշգամբ: Հարևանությամբ կան բանկեր, խանութներ և ժամանցի վայրեր: "
Մ. Բաղրամյան պող.,3 սենյակ,200 մ2," հարկ 8/14 , նորակառույց ", Վաճառք - պայման. ," Վաճառվում է 3 սենյականոց ընդարձակ ու լուսավոր բնակարան` 200 քմ մակերեսով, որը գտնվում է Մ. Բաղրամյան պողոտայում, 14 հարկանի նորակառույց մոնոլիտ շենքի 8-րդ հարկում։ Բնակարանը բարձրորակ նյութերով եվրովերանորոգված է, և դեռևս չբնակեցված: Հատակը ծածկված է որակյալ իսպանական արտադրության կերամոգրանիտով, ննջասենյակներինը` (паркетная доска) մանրատախտակով: Ջեռուցումն իրականացվում է կենտրոնացված համակարգով: Տեղադրված է մուտքի երկաթե դուռ, պանորամային պատուհաններ, ունի ընդարձակ խոհանոց ու հյուրասենյակ: Առկա է 2 սանհանգույց, որոնք սալիկապատված են եվրոպական արտադրության սալիկներով ու հագեցած են սանտեխնիկայով: Բնակարանն ունի 3 բաց պատշգամբ` քաղաքի տարբեր կողմերի գեղեցիկ տեսարաններով: Խոհանոցը ժամանակակից ոճով կահավորված է հագեցած տեխնիկայով: Շենքում գործում է 2 վերելակ, ապահովված է անվտանգության համակարգով ու կայանատեղիով: Կա մաքրման ծառայություն: Մոտակայքում է գտնվում մետրոն, Ամերիկյան համալսարանը, տարատեսակ խանութներն ու ժամանցի վայրերը: "
Տերյան,5 սենյակ,260 մ2," հարկ 8/12 , նորակառույց ", Վաճառք - պայման. ," Տերյան և Իսահակյան փողոցների խաչմերուկում, Երիտասարդական մետրոյի հարևանությամբ վաճառվում է 5 սենյականոց ընդարձակ բնակարան, որի ընդհանուր մակերեսը կազմում է 260 քմ: Այն գտնվում է 12 հարկանի բնակելի նորակառույց շենքի 8-րդ հարկում: Շենքը համարվում է լավագույններից մեկը քաղաքում և շինությունը հայտնի է իր ճարտարապետական ժամանակակից և ինժեներական լուծումներով: Շենքում առկա է շուրջօրյա անվտանգության համակարգ` աշխատակցով, լողավազան, ընդունարան, մարզասրահ` միայն շենքի բնակիչների համար։ Բնակարանը կապիտալ նորոգված է և դեռևս չբնակեցված: Տեղադրված է հատակից առաստաղ ձգվող պանորամային պատուհաններ, այսպիսով տարածքը հագեցած է լուսավորությամբ: Ջեռուցումն ու հովացումը կատարվում է կենտրոնացված համակարգով: Առկա է լվացքասենյակ, զգեստասենյակ, խորդանոց և 3 բաց պատշգամբներ, որտեղից բացվում են տեսարաններ դեպի Մայր Հայաստան, Կասկադ համալիր, Օպերայի և բալետի թատրոն: Հատակը ծածկված է բարձրորակ կաղնե մանրահատակով: Միջսենյակային դռները նույնպես փայտից են: Բնակարանն ունի 3 սանհանգույց, որոնք սալիկապատված են եվրոպական արտադրության սալիկներով: Շենքն ունի սպասարկման վճար, որի մեջ ներառված է ջեռուցման և հովացման ծախսերը: Առկա է ստորգետնյա ավտոտնակ` 2 մեքենայի համար նախատեսված: Մոտակայքում են գտնվում բոլոր խանութները, բանկերը, ենթակառուցվացքներն ու ժամանցի վայրերը: "
Ձորափի,4 սենյակ,170 մ2," հարկ 10/13 , նորակառույց "," Վաճառք - 375,000 $ "," Բնակարանը ձևավորվել է հայտնի դիզայների կողմից՝ ուլտրաժամանկակից մեթոդով՝ նորագույն շինարարկան հումքով։ Բնակարանում տեղադրված է օդափոխման նորագույն համակարգ, որը հնարավորություն է տալիս ամեն սենյակում ունենանալ ցանկալի ջերմաստիճան։ Ունի երկու պատշգամբ, որոնցից մեկը նայում է դեպի Պռոշյան փողոց, իսկ մյուսը, որը ունի 14 մետր երակարություն, նայում է դեպի Հրազդանի կիրճ և որտեղից հիանալի տեսարան է բացվում դեպի Մասիս սարը։ Պատշգամբները լիովին վերանորգված են և կահավորված են ծղոտից կահույքով։ Բնակարանում կա 3 սանհանգույց, որոնք բոլորը սալիկապատված են եվրոպական արտադրության սալիկներով: Բոլոր երեք ննջասենյակներում կան հանդերձարաններ, դարակներ ու սեղաններ, որոնք բացվում են BLUM համակարգի միջոցով: Մեծ ննջասենյակի king size մահճակալի վրա տեղադրված է հատուկ օրթոպեդիկ մատրաս Ամերիկյան ատադրության: Այս սենյակը նաև ունի իր առանձին հանդերձարանը: Բնակարանի պատուհանագոգերը մարմարից ու գրանիտից են: Ամեն սենյակում կա հեռուստացույց: Հյուրասենյակում կա տնային կինոթատրոն: Խոհանոցում տեղադրված են օդամաքրման իտալական համակարգ, սենսորային էլեկտրական պլիտա, աման լվանալու մեքենա, 2 սառնարան և աղբը մանրացնող սարք: Հյուրասենյակին կից լոգասենյակում տեղադրված է գերմանական լվացքի մեքենա: Տրամադրվում են երկու ստորգետնյա ավտոկայանատեղի: "
Աղբյուր Սերոբ 50,5 սենյակ,313 մ2," հարկ 7/7 , նորակառույց ", Վաճառք - պայման. ," Վաճառվում է 5 սենյականոց պենտհաուս անմիջապես կառուցապատողից` 313 քմ մակերեսով` 7 հարկանի ""Տեխնոդոմ"" բնակելի շենքի 7-րդ հարկում: Բաղկացած է հյուրասենյակից, խոհանոցից, 4 ննջասենյակից, 4 սանհանգույցից և 3 բաց պատշգամբներից: «Պենտհաուս» տեսակի ընդարձակ բնակարանը հիանալի է նրանց համար, ովքեր ցանկանում են ունենալ շատ սենյակներ, անհատական այգի կամ զբոսայգի, բայց միևնույն ժամանակ` խուսափել «սեփական տան» գաղափարից: Պենթհաուսի առավելություններն են` պանոռամիկ պատուհաններ` քաղաքին նայող գեղատեսիլ տեսարանով, մեծ տարածություն, տանիքում` անհատական ընդարձակ տեռաս, որը հիանալի վայր է հանգիստն անցկացնելու և ջերմ ընկերական հավաքույթներ կազմակերպելու համար։ Տեխնոդոմ բնակելի շենքը, որի շինարարական աշխատանքներն ընթանում են, գտնվում է Արաբկիր համայնքում՝ Վերին Անտառային փողոցի և Սարալանջ պողոտայի հարևանությամբ, Աղբյուր Սերոբ փողոցում: Այստեղ կարելի է հասնել` քայլելով 10 րոպե Կասկադից և «Ռիո մոլ» առևտրի կենտրոնից: Մոնոլիտ-բետոնե շինությունը նախագծված է անվտանգության գերժամանակակից եվրոպական նորմերին համապատասխան, ունի միջհարկային ձայնամեկուսացում, ջերմամեկուսացում, բաղկացած է 7 բնակելի հարկերից, ունի գերմանական արտադրության վերելակներ, եռահարկ ավտոկայանատեղի, երկհարկ առևտրային տարածք: Այս ժամանակակից շենքը ճարտարապետական և տեխնիկական լուծումների շնորհիվ ստացել է Տեխնոդոմ սիմվոլիկ անվանումը։ Մոդեռն լուծումներով սլացիկ շենքում լինելու են ոչ թե պարզապես բնակարաններ և տարածքներ, այլ քաղաքում բնակվելու նոր ապրելակերպ, նոր մշակույթ: Շենքն ունենալու է 2 մուտք: 1-ին հարկում նախատեսված են կոմպակտ` 1 և 2 ննջարաններով բնակարաններ, 2 - 6-րդ հարկերում` 1-3 ննջարաններով կոմպակտ և ավելի ընդարձակ բնակարաններ` ճկուն հատակագծային լուծումներով և ընդարձակ պատշգամբներով: 7-րդ հարկում նախատեսված են 4 շքեղ բնակարաններ` պենտհաուսներ ընդարձակ տեռասաներով: Տանիքում նախատեսված է կանաչապատ նորաձև զբոսայգի, որտեղ շենքի բնակիչները կարող են զբոսնել և զմայլվել գիշերային երևանյան տեսարաններով: Բնակարանները հնարավոր է ձեռք բերել պատերը բաժանած և գաջած վիճակում։ Վաճառքը` փուլային և հիփոթեքով՝ նորակառույցների համար գործող եկամտահարկի վերադարձի օրենքով: Շենքի նախագծային աշխատանքներն իրականացվել են առաջատար մասնագետների կողմից: Նախագիծն իրականացնում է համանուն կառուցապատող ընկերությունը՝ «Տեխնոտուն» ՍՊԸ: Շինարարության փաստացի ավարտը նախատեսվում է 2022 թվականի տարեվերջում: "
Չարենց,3 սենյակ,83 մ2, հարկ 3/5 ," Վաճառք - 175,000 $ "," Վաճառվում է 3 սենյականոց լուսավոր բնակարան՝ 83 քմ մակերեսով, որը գտնվում է Նալբանդյան և Չարենց փողոցների խաչմերուկում, 5 հարկանի` ստալինյան նախագծի քարե շենքի 3-րդ հարկում, հատակն ու առաստաղն ունեն բետոնե ծածկեր: Բնակարանը կապիտալ վերանորոգված է։ Ջեռուցվում է գազի կաթսայի միջոցով, տեղադրված է օդորակիչ։ 2 ննջասնեյակներն ունեն կից զգեստասենյակ ու սանհանգույց: Սանհանգույցները սալիկապատված են որակյալ սալիկներով և հագեցած են բարձրորակ սանտեխնիկայով: Հատակը ծածկված է կաղնե մանրահատակով և սալիկներով: Առկա է խորդանոց ու բաց պատշգամբ դեպի փողոց նայող գեղեցիկ տեսարանով: Մոտակայքում են գտնվում բոլոր տեսակի ժամանցի վայրերը, խանութները, բանկերը և տրանսպորտի կանգառները: Վաճառվում է խոհանոցի կահույքի հետ միասին: "
Մոսկովյան 28,2 սենյակ,76 մ2, հարկ 5/8 ," Վաճառք - 129,500 $ "," Վաճառվում է 2 սենյականոց բնակարան 76 քմ մակերեսով, որը գտնվում է քաղաքի լավագույն հատվածում, Սարյան փողոցում` 8 հարկանի պանելային շենքի 5-րդ հարկում: Բնակարանը գտնվում է պետական վիճակում, հատակը ծածկված է մանրահատակով: Սանհանգույցը սալիկապատված է և հագեցած սանտեխնիկայով: Առկա է բաց և տնտեսական պատշգամբ: Շենքում գործում է վերելակ: Մոտակայքում են գտնվում բոլոր տեսակի ժամանցի վայրերը, խանութներն ու բանկերը: "
Ամիրյան փողոց,3 սենյակ,84 մ2," հարկ 11/12 , նորակառույց "," Վաճառք - 470,000 $ "," Երևանի կենտրոնում՝ հանրապետության հրապարակից 150 մ հեռավորության վրա, վաճառվում է պրեմիում դասի 3 սենյականոց բնակարան։ Գտնվում է Ա դասի էլիտար նորակառույց 13 հարկանի բնակելի շենքի 11-րդ հարկում։ Շենքի հարևանությամբ են գտնվում Փարիզ հյուրանոցը, հանրահայտ ռեստորանը, ինչպես նաև մի շարք այլ հայակական և եվրոպական խոհանոցներ ունեցող ռեստորաններ, ֆիտնես կենտրոն, կոսմետոլոգիական կլինիկա և այլ հասարակական նշանակության օբյեկտներ։ Շինության տանիքին առանձացված են երկու ընդարձակ տերրասսա բնակիչների համար։ Շենքի շինարարությունն ավարտվել է 2010 թվականին։ Շինության տիպը՝ մոնոլիտ, երեսպատումն իրականացված է հրաբխային ծագման վարդագույն տուֆից, որով շարունակում է Հանրապետության Հրապարակի ամբողջությունը։ Բնակարանի ընդհանուր մակերեսը՝ 84 քմ, առաստաղի բարձրությունը՝ 3մ։ Բնակարանը նախագծվել է Archiline Quality Design Group ճարտարապետական բյուրոի կողմից։ Ներքին հարդարման ժամանակ օգտագործվել են Իտալիայից և Գերմանիայից ներմուծված շինանյութեր։ Կահավորված է պրեմիում դասի իտալական արտադրության Annibale Colombo, Aster, Baxter և այլ կահույքով։ Ամբողջ ներկառուցված խոհանոցային գույքն ու տեխնիկան Ա դասի իտալական REX (Electrolux) ընկերության արտադրանքն են։ Հատակը ջեռուցվող է, առկա են օդորակիչներ։ Առկա է պահուստային 80 լ ջրի ջրատաքացուցիչ, 2 հեռուստացույց՝ տնային կինոթատրոնով, ինտերնետ, արբանյակային հեռուստատեսություն և քաղաքային հեռախոս։ Մանրահատակը ընկույզի և կաղնու փայտից է։ Բնակարանը վաճառվում է գույքի և տեխնիկայի հետ միասին։ Պատերը զարդարում են հայ նկարիչ-աբստրակցիոնիստների գործերը։ Բնակարանի հետ միասին վաճառվում է ստորգետնյա կայանատեղի։ "
Փ․ Բուզանդ 3,3 սենյակ,121 մ2," հարկ 6/10 , նորակառույց "," Վաճառք - 675,000 $ "," Երևան քաղաքի հենց սրտում, լավագույն էլիտար նորակառույց շենքերց մեկում, «Royal Classic House» համալիրում վաճառվում է շքեղ բնակարան։ Շենքը գտնվում է Հանրապետության Հրապարակից ընդամենը 300 մետր հեռավորության վրա: Նրբաճաշակ դիզայնով և հարմարավետ կահավորված բնակարանը բաղկացած է 3 սենյակից` 1 ընդարձակ հյուրասենյակ, 2 ննջասենյակ, 2 սանհանգույց: Ունի նաև երկու բաց պատշգամբներ՝ մի կողմից տեսարան է բացվում դեպի քաղաք, մյուս կողմից դեպի Վերնիսաժ տանող այգի։ Ամբողջ գույքը, տեխնիկան, սանհանգույցի պարագաները և սալիկները բրենդային են և ներկրված են արտասահմանից։ Բնակարանն ունի կլիման կարգավորող՝ օդափոխման, անհատական ջեռուցման և հովացման համակարգեր։ Կառույցն ունի 9 բալ սեյսմակայունություն և գեղեցիկ ճարտարապետական տեսք։ Շենքը տեսահսկվում է, գործում է շուրջօրյա անվտանգության համակարգ, դռնապան և սպասարկող անձնակազմ։ Ավտոմեքենաների համար (հավելավճարով) հատկացվում է ստորգետնյա կայանատեղի, որտեղ պահպանված են օդափոխության, հրդեհային անվտանգության բոլոր ստանդարտները: "
Ալեք Մանուկյան փողոց,5 սենյակ,291 մ2," հարկ 6/7 , նորակառույց ", Վաճառք - պայման. ," Վաճառվում է կապիտալ նորոգված և կահավորված պենտհաուս Երևանի կենտրոնում, Ալեք Մանուկյան Սայաթ- Նովա փողոցների խաչմերուկի մոտ՝ Օղակաձև այգու շատրվանների դիմաց գտնվող նորակառույց, բարձրակարգ շենքում։Պենտհաուսի նորոգման ընթացքում օգտագործվել է բացառապես բարձրորակ շինանյութ։ Հատակը պատված է փայտե մանրահատակով և բնական քարերով(մարմար, գրանիտ)։ Սանհանգույցները նույնպես պատված են բնական քարերով։ Ամբողջովին կահավորված է և հագեցված անհրաժեշտ կենցաղային տեխնիկայով։ Ընդհանուր մակերեսը՝ 290.6 ք/մ: Առաստաղի բարձրությունը՝ 3,1 մետր: Պենտհաուսն ունի ընդարձակ նախասրահ, 2 մեծ հյուրասենյակ, 3 ննջարան, որոնցից մեկն իր առանձին սահանգույցով և զգեստասենյակով։ Մյուս 2 ննջասենյակների համար կա նախատեսված սանհանգույց, ինչպես նաև 1 սանհանգույց նախասրահի կողքին՝ նախատեսված հյուրերի համար։ Պենտհաուսն ունի 1 խոհանոց՝ 2 մուտքով, իր օդափոխման համակարգով և դուրս նայող առանձին պատուհանով, ինպես նաև առանձին լվացքասենյակ։ Յուրաքանչյուր սենյակ ունի իր առանձին կլիմատ կոնտրոլ համակարգը։ Առկա է բուխարի։ Առկա է 20 ք/մ մակերեսով բաց պատշգամբ, որտեղից բացվում է գեղեցիկ տեսարան դեպի Օղակաձև այգի և շատրվաններ։ Տանիքում կա ընդարձակ տեռասսա, որտեղից բացվում է եռակողմ տեսարան։ Այստեղից բացվում է հրաշալի համայնապատկեր, երևում են սբ. Գրիգոր լուսավորիչ եկեղեցին, Մայր Հայաստան հուշահամալիրը և իհարկե բիբլիական Արարատը՝ իր ողջ վեհությամբ։ Տանիքում կա նաև փակ լողավազան, որից կարելի է օգտվել տարվա բոլոր եղանականերին, ինչպես նաև՝ շոգեբաղնիք և տարբեր մարզասարքերով հագեցած սպորտային անկյուն՝ մարզվել ցանկացողների համար։ Առկա է հանդերձարան և սանհանգույց։ Տեռասսայում կա նաև զրուցարան, խոհանոց և մանղալ, որոնք ձեզ հնարավորություն են տալիս ոչ միայն վայելել ձեր ակտիվ հանգիստը, այլ նաև ձեր ընտանիքի կամ ընկերների հետ մտերմիկ և հաճելի ճաշկերույթ կազմակերպել՝ միաժամանակ վայելելով այստեղից բացվող տեսարանը։ Նորակառույց այս համալիրը, որում գտնվում է պենտհաուսը՝ հանդիսանում է Երևան քաղաքի պահանջված նորակառույցներից մեկը։ Այն շահագործման է հանձվել 2008 թվականին։ Կառուցվել է շինարարական բոլոր նորմերին համապատասխան և ունի բարձր սեյսմակայունություն։ Շենքն ունի 2 մուտք, գործում է վերելակ, որը սպասարկում է կայանատեղիից մինչև տեռասսա։ Շենքի -1 հարկում գտնվում է ավտոկայանատեղին, որտեղ տվյալ պենտհաուսի բնակչի համար հատկացված է 3 կայանատեղի։ 1-ն և 2-րդ հարկերը կոմերցիոն նշանակության են։ Առկա է անվտանգությն շուրջօրյա գործող համակարգ։ Շենքն ունի պահուստային ջրի պաշար և էլեկտրականության այլընտրանքային հոսանքի գիծ, նախատեսված վթարային իրավիճակների համար։ Այս նորակառույց շենքի առանձնահատկություններից մեկը նաև այն է, որ յուրաքանչյուր հարկում կա ընդամենը մեկ բնակարան, ուստի ձեռք բերելով այս պենտհաուսը ամբողջ հարկը կունենաք ձեր տրամադրության տակ։ Գործում է սպասարկման վճար։ "
Նալբանդյան,3 սենյակ,105 մ2," հարկ 6/12 , նորակառույց "," Վաճառք - 260,000 $ "," Վաճառվում է 3 սենյականոց բնակարան 105 քմ մակերեսով, որը գտնվում է 12 հարկանի նորակառույց շենքի 6-րդ հարկում՝ Նալբանդյան և Աբովյան փողոցների միջև՝ Հանրապետության Հրապարակից ոչ հեռու։ Բնակարանը կապիտալ վերանորոգված է, տեղադրված է անհատական ջեռուցման համակարգ, եվրո պատուհաններ, հատակը ծածկված է լամինատով և սալիկներով։ Սանհանգույցը սալիկապատված է եվրոպական արտադրության սալիկներով և հագեցած է որակյալ սանտեխնիկայով։ Բնակարանը կահավորված է իտալական կահույքով և հագեցած ժամանակակից կենցաղային տեխնիկայով։ Շենքում գործում է 2 վերելակ, ունի անվտանգության համակարգ։ Բակը խնամված է, որտեղ կա կա խաղահրապարակ։ Մոտակայքում կա մետրո, բանկեր, դպրոցներ, խանութներ, սրճարաններ ու ժամանցի վայրեր։ "
Հյուսիսային պող. 5,3 սենյակ,106 մ2," հարկ 7/10 , նորակառույց "," Վաճառք - 450,000 $ "," Վաճառվում, երկարաժամկետ վարձակալությամբ կամ օրավարձով է տրվում 3 սենյականոց ընդարձակ և ինքնատիպ բնակարան` Հյուսիսային պողոտայում, 10 հարկանի նորակառույց շենքի 7-րդ հարկում: Բնակարանը կապիտալ վերանորոգված է ժամանակակից ոճով և ունի յուրահատուկ դիզայն։ Ընդհանուր մակերեսը` 106 քմ է: Բոլոր սենյակները և խոհանոցը կահավորված են նորաձև գեղեցիկ իտալական կահույքով և տեխնիկայով: Բարձրորակ սպասարկում՝ 24 ժամյա անվտանգություն,1 պահակակետ: "
Ե․ Քոչար 9,2 սենյակ,43 մ2, հարկ 4/9 ," Վաճառք - 68,000 $ "," Երվանդ Քոչարի փողոցում վաճառվում է 2 սենյականոց բնակարան` 43 ք.մ. մակերեսով, որը գտնվում է 9 հարկանի պանելային շենքի 4-րդ հարկում։ Բնակարանը նոր կապիտալ վերանորոգված է և դեռ չբնակեցված։ Տեղադրված է երկաթյա դուռ, եվրո պատուհաններ և դռներ, հատակը ծածկված է լամինատով: Ջեռուցվում է գազի կաթսայի միջոցով: Սանհանգույցը սալիկապատված է: Մոտակայքում են գտնվում բոլոր անհրաժեշտ խանութները, ժամանցի վայրերը։ Բնակարանը վաճառվում է սեփանակատիրոջ կողմից: "
Հին Երևանցու,3 սենյակ,100 մ2, հարկ 3/9 ," Վաճառք - 195,000 $ "," Թումանյան փողոցի և Հյուսիսային Պողոտայի խաչմերուկում` Օպերայի հարևանությամբ, վաճառվում է 3 սենյականոց բնակարան` 100 ք.մ. մակերեսով, որը գտնվում է 9 հարկանի պանելային շենքի 3-րդ հարկում։ Բնակարանը նոր կապիտալ վերանորոգված է և դեռ չբնակեցված։ Տեղադրված է երկաթյա դուռ, եվրո պատուհաններ, հատակը ծածկված է լամինատով: Ջեռուցումը կատարվում է ջեռուցման baxi համակարգի միջոցով: Խոհանոցը և սանհանգույցը սալիկապատ են: Բնակարանն ունի փակ պատշգամբ և խորդանոց։ Մոտակայքում են գտնվում բոլոր անհրաժեշտ խանութները, ժամանցի վայրերը։ "
Սարմեն 13,3 սենյակ,121 մ2," հարկ 6/12 , նորակառույց "," Վաճառք - 320,000 $ "," Սարմենի փողոցում, Կասկադի մոտակայքում վաճառվում է 3 սենյականոց ընդարձակ բնակարան` 121 քմ մակերեսով, որը գտնվում է 12 հարկանի նորակառույց շենքի 6-րդ հարկում, գեղատեսիլ Կասկադ համալիրի մոտայքում: Բնակարանը կապիտալ վերանորոգված է, բարձրարժեք կահույքով կահավորված և որակյալ տեխնիկայով համալրված: Ջեռուցվում է կենտրոնացված համակարգով: Տեղադրված է օդորակիչ, եվրոպատուհաններ, հատակը ծածկված է մանրահատակով: Առաստաղը ձևավորված է գեղեցիկ լուսային էֆեկտներով։ Առկա է 2 սանհանգույց և բաց պատշգամբ` գեղեցիկ տեսարանով: Սանհանգույցները սալիկապատված են եվրոպական արտադրության սալիկներով, հագեցած են սանտեխնիկայով: Շենքում գործում է անխափան վերելակ, ապահովված է անվտանգության համակարգով: Մոտակայքում է գտնվում Օպերայի և Բալետի թատրոնը, բազում սրճարաններ, բրենդային խանութներ, տարատեսակ ժամանցի վայրեր և այլ կենտրոններ։ Վաճառվում է կահույքի և տեխնիկայի հետ միասին: Առկա է ստորգետնյա ավտոկայանատեղի 2 մեքենայի համար նախատեսված, արժեքը` 40.000$: Առանց միջնորդի է: "
Ծարավ Աղբյուր,2 սենյակ,75 մ2," հարկ 4/13 , նորակառույց "," Վաճառք - 97,000 Դ "," Վաճառվում է 2 սենյականոց բնակարան՝ 75 ք.մ. մակերեսով, որը գտնվում է Ծարավ Աղբյուր փողոցում, 13 հարկանի մոնոլիտ շենքի 4-րդ հարկում: Բնակարանը կապիտալ նորոգված է։ Տեղադրված է երկաթե դուռ, եվրո պատուհաններ, հատակը ծածկված է մանրահատակով: Ջեռուցվում է գազի կաթսայի միջոցով, տեղադրված է օդորակիչ։ Սանհանգույցը պատված է սալիկներով, հագեցած է սանտեխնիկայով: Բնակարանը կահավորված է, ապահովված է անհրաժեշտ տեխնիկայով։ Ունի բաց պատշգամբ: "
